tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
12/1/2018,60,26,27,112,17,112,O3,3,DKI3
12/2/2018,73,36,22,132,21,132,O3,3,DKI2
12/3/2018,65,31,21,97,20,97,O3,2,DKI2
12/4/2018,64,24,31,71,21,71,O3,2,DKI1
12/5/2018,62,25,33,81,22,81,O3,2,DKI5
12/6/2018,61,27,33,94,17,94,O3,2,DKI3
12/7/2018,59,40,29,134,15,134,O3,3,DKI3
12/8/2018,68,25,30,134,27,134,O3,3,DKI2
12/9/2018,60,25,25,104,19,104,O3,3,DKI2
12/10/2018,68,24,32,137,19,137,O3,3,DKI2
12/11/2018,82,26,50,123,34,123,O3,3,DKI2
12/12/2018,58,26,31,214,22,214,O3,4,DKI2
12/13/2018,52,26,24,117,26,117,O3,3,DKI2
12/14/2018,50,24,21,92,18,92,O3,2,DKI3
12/15/2018,37,24,16,47,6,47,O3,1,DKI2
12/16/2018,46,25,11,63,9,63,O3,2,DKI2
12/17/2018,41,30,12,128,12,128,O3,3,DKI2
12/18/2018,51,27,16,160,14,160,O3,3,DKI2
12/19/2018,62,27,24,195,19,195,O3,3,DKI2
12/20/2018,55,27,24,97,18,97,O3,2,DKI3
12/21/2018,41,25,19,64,17,64,O3,2,DKI3
12/22/2018,58,32,21,66,18,66,O3,2,DKI3
12/23/2018,48,26,19,44,21,48,PM10,1,DKI1
12/24/2018,34,24,9,45,5,45,O3,1,DKI3
12/25/2018,29,24,7,70,4,70,O3,2,DKI3
12/26/2018,31,25,7,69,5,69,O3,2,DKI3
12/27/2018,29,25,15,55,6,55,O3,2,DKI1
12/28/2018,33,24,7,63,3,63,O3,2,DKI1
12/29/2018,30,24,6,50,8,50,O3,1,DKI3
12/30/2018,48,12,6,53,4,53,O3,2,DKI3
12/31/2018,44,18,6,43,4,44,PM10,1,DKI3
2/1/2018,44,43,37,73,13,73,O3,2,DKI5
2/2/2018,47,45,56,68,12,68,O3,2,DKI3
2/3/2018,42,44,35,59,12,59,O3,2,DKI5
2/4/2018,35,47,35,57,12,57,O3,2,DKI5
2/5/2018,31,46,32,66,9,66,O3,2,DKI5
2/6/2018,45,48,71,75,16,75,O3,2,DKI5
2/7/2018,42,50,60,89,14,89,O3,2,DKI5
2/8/2018,55,49,62,89,22,89,O3,2,DKI5
2/9/2018,53,24,88,65,14,88,CO,2,DKI5
2/10/2018,43,24,52,58,16,58,O3,2,DKI5
2/11/2018,48,25,39,56,12,56,O3,2,DKI5
2/12/2018,50,21,56,70,12,70,O3,2,DKI5
2/13/2018,57,21,32,75,13,75,O3,2,DKI5
2/14/2018,60,22,27,80,17,80,O3,2,DKI5
2/15/2018,55,22,63,58,15,63,CO,2,DKI5
2/16/2018,22,22,23,68,14,68,O3,2,DKI5
2/17/2018,53,24,23,48,14,53,PM10,2,DKI4
2/18/2018,40,23,23,80,9,80,O3,2,DKI5
2/19/2018,45,24,20,65,14,65,O3,2,DKI5
2/20/2018,52,32,35,62,14,62,O3,2,DKI5
2/21/2018,57,26,22,66,26,66,O3,2,DKI2
2/22/2018,53,26,66,47,19,66,CO,2,DKI5
2/23/2018,64,26,88,61,14,88,CO,2,DKI5
2/24/2018,47,23,22,76,11,76,O3,2,DKI3
2/25/2018,48,26,20,91,11,91,O3,2,DKI5
2/26/2018,46,25,33,80,15,80,O3,2,DKI5
2/27/2018,47,25,42,64,17,64,O3,2,DKI3
2/28/2018,56,28,56,80,16,80,O3,2,DKI3
3/1/2018,72,24,40,126,19,126,O3,3,DKI5
3/2/2018,51,29,34,146,17,146,O3,3,DKI2
3/3/2018,62,30,37,109,18,109,O3,3,DKI5
3/4/2018,60,30,64,194,19,194,O3,3,DKI5
3/5/2018,61,23,48,79,20,79,O3,2,DKI5
3/6/2018,64,28,30,103,16,103,O3,3,DKI3
3/7/2018,66,26,48,76,21,76,O3,2,DKI3
3/8/2018,55,29,47,107,22,107,O3,3,DKI5
3/9/2018,59,30,59,81,27,81,O3,2,DKI5
3/10/2018,60,25,27,54,12,60,PM10,2,DKI3
3/11/2018,56,25,18,63,10,63,O3,2,DKI5
3/12/2018,39,24,20,46,9,46,O3,1,DKI5
3/13/2018,49,28,20,61,8,61,O3,2,DKI3
3/14/2018,62,31,20,89,11,89,O3,2,DKI3
3/15/2018,68,37,24,136,30,136,O3,3,DKI2
3/16/2018,75,30,20,191,15,191,O3,3,DKI5
3/17/2018,71,32,24,155,20,155,O3,3,DKI5
3/18/2018,72,31,54,195,14,195,O3,3,DKI5
3/19/2018,50,27,21,156,15,156,O3,3,DKI5
3/20/2018,51,29,23,202,22,202,O3,4,DKI5
3/21/2018,62,25,31,87,14,87,O3,2,DKI2
3/22/2018,30,25,18,51,9,51,O3,2,DKI3
3/23/2018,75,44,49,94,21,94,O3,2,DKI5
3/24/2018,66,30,23,55,17,66,PM10,2,DKI1
3/25/2018,36,24,16,64,19,64,O3,2,DKI2
3/26/2018,51,27,24,90,19,90,O3,2,DKI2
3/27/2018,41,24,20,94,7,94,O3,2,DKI2
3/28/2018,75,31,42,195,26,195,O3,3,DKI2
3/29/2018,71,34,26,129,19,129,O3,3,DKI2
3/30/2018,56,30,34,105,30,105,O3,3,DKI2
3/31/2018,39,48,15,67,8,67,O3,2,DKI5
4/1/2018,45,25,17,57,13,57,O3,2,DKI5
4/2/2018,46,27,18,57,19,57,O3,2,DKI5
4/3/2018,50,26,27,80,26,80,O3,2,DKI5
4/4/2018,45,28,20,96,28,96,O3,2,DKI5
4/5/2018,81,37,29,202,18,202,O3,4,DKI5
4/6/2018,56,29,21,144,12,144,O3,3,DKI5
4/7/2018,68,31,29,74,12,74,O3,2,DKI3
4/8/2018,45,28,16,51,12,51,O3,2,DKI3
4/9/2018,53,33,20,85,11,85,O3,2,DKI3
4/10/2018,52,36,19,66,15,66,O3,2,DKI3
4/11/2018,71,33,23,92,13,92,O3,2,DKI3
4/12/2018,69,58,16,57,14,69,PM10,2,DKI2
4/13/2018,54,56,16,121,11,121,O3,3,DKI5
4/14/2018,51,22,21,141,12,141,O3,3,DKI5
4/15/2018,59,27,23,168,13,168,O3,3,DKI5
4/16/2018,65,33,27,185,18,185,O3,3,DKI5
4/17/2018,63,26,24,142,16,142,O3,3,DKI5
4/18/2018,81,29,26,80,23,81,PM10,2,DKI4
4/19/2018,86,27,33,133,22,133,O3,3,DKI5
4/20/2018,76,24,30,92,18,92,O3,2,DKI5
4/21/2018,73,26,43,162,25,162,O3,3,DKI5
4/22/2018,70,26,29,117,18,117,O3,3,DKI5
4/23/2018,51,22,30,84,16,84,O3,2,DKI5
4/24/2018,61,23,33,90,34,90,O3,2,DKI5
4/25/2018,69,23,37,48,18,69,PM10,2,DKI1
4/26/2018,71,30,34,56,25,71,PM10,2,DKI1
4/27/2018,62,23,22,48,16,62,PM10,2,DKI2
4/28/2018,57,25,23,96,16,96,O3,2,DKI5
4/29/2018,67,23,26,120,18,120,O3,3,DKI5
4/30/2018,78,24,29,89,22,89,O3,2,DKI4
5/1/2018,73,25,19,101,18,101,O3,3,DKI5
5/2/2018,88,25,22,183,18,183,O3,3,DKI5
5/3/2018,103,27,23,166,20,166,O3,3,DKI5
5/4/2018,91,27,46,164,23,164,O3,3,DKI5
5/5/2018,78,26,27,137,17,137,O3,3,DKI5
5/6/2018,70,26,17,109,15,109,O3,3,DKI5
5/7/2018,68,27,17,77,16,77,O3,2,DKI5
5/8/2018,79,26,21,204,17,204,O3,4,DKI5
5/9/2018,93,27,21,156,20,156,O3,3,DKI5
5/10/2018,73,25,18,107,15,107,O3,3,DKI5
5/11/2018,74,27,16,83,18,83,O3,2,DKI5
5/12/2018,103,27,29,144,21,144,O3,3,DKI5
5/13/2018,96,26,26,131,14,131,O3,3,DKI5
5/14/2018,87,26,20,178,13,178,O3,3,DKI5
5/15/2018,94,27,25,143,17,143,O3,3,DKI5
5/16/2018,87,28,23,151,16,151,O3,3,DKI5
5/17/2018,65,25,19,80,16,80,O3,2,DKI3
5/18/2018,78,26,26,86,11,86,O3,2,DKI5
5/19/2018,59,24,13,102,10,102,O3,3,DKI5
5/20/2018,61,25,29,98,12,98,O3,2,DKI5
5/21/2018,60,25,20,185,16,185,O3,3,DKI5
5/22/2018,58,25,14,80,10,80,O3,2,DKI5
5/23/2018,58,26,12,74,12,74,O3,2,DKI5
5/24/2018,42,25,12,94,10,94,O3,2,DKI5
5/25/2018,66,26,22,92,11,92,O3,2,DKI5
5/26/2018,71,29,24,119,13,119,O3,3,DKI5
5/27/2018,62,26,23,156,10,156,O3,3,DKI5
5/28/2018,81,24,55,120,33,120,O3,3,DKI2
5/29/2018,84,31,21,118,20,118,O3,3,DKI5
5/30/2018,86,25,24,191,20,191,O3,3,DKI5
5/31/2018,83,28,21,183,20,183,O3,3,DKI2
6/1/2018,75,27,30,115,15,115,O3,3,DKI5
6/2/2018,78,26,14,86,18,86,O3,2,DKI5
6/3/2018,82,26,16,145,17,145,O3,3,DKI5
6/4/2018,73,27,11,125,19,125,O3,3,DKI5
6/5/2018,69,26,13,146,14,146,O3,3,DKI5
6/6/2018,78,26,16,133,13,133,O3,3,DKI5
6/7/2018,79,25,21,179,18,179,O3,3,DKI5
6/8/2018,68,27,16,162,17,162,O3,3,DKI5
6/9/2018,100,27,39,167,22,167,O3,3,DKI5
6/10/2018,75,27,28,203,17,203,O3,4,DKI2
6/11/2018,74,27,14,169,14,169,O3,3,DKI2
6/12/2018,67,26,18,161,13,161,O3,3,DKI2
6/13/2018,64,25,30,163,16,163,O3,3,DKI5
6/14/2018,56,25,18,144,7,144,O3,3,DKI5
6/15/2018,60,26,21,161,8,161,O3,3,DKI2
6/16/2018,61,37,31,139,17,139,O3,3,DKI2
6/17/2018,49,27,11,88,8,88,O3,2,DKI5
6/18/2018,51,27,10,75,10,75,O3,2,DKI5
